,t,ax,ay,az,wx,wy,wz
1384,4565.0,7.26,-0.14,5.85,-0.37,5.42,1.72
1385,4568.0,8.47,-0.77,6.04,-0.77,5.16,1.54
1386,4571.0,9.42,-1.07,5.9,-0.94,4.81,1.31
1387,4575.0,9.46,-0.48,5.47,-0.83,4.38,1.11
1388,4578.0,7.63,0.79,5.42,-0.37,3.91,0.94
1389,4581.0,6.52,1.2,5.56,-0.55,3.81,0.99
1390,4584.0,6.4,1.1,5.98,-0.83,3.79,1.1
1391,4588.0,6.94,0.91,6.53,-1.08,3.73,1.19
1392,4591.0,7.28,0.68,6.39,-1.3,3.66,1.26
1393,4594.0,7.56,0.36,6.31,-1.54,3.61,1.26
1394,4597.0,7.64,0.22,6.41,-1.62,3.5,1.24
1395,4600.0,7.62,0.03,6.34,-1.67,3.35,1.18
1396,4604.0,7.52,-0.1,6.35,-1.68,3.2,1.11
1397,4607.0,7.45,-0.22,6.48,-1.67,3.03,1.01
1398,4610.0,7.25,-0.22,6.44,-1.66,2.81,0.91
1399,4613.0,7.06,-0.09,6.31,-1.64,2.68,0.9
1400,4616.0,6.89,0.03,6.11,-1.59,2.56,0.91
1401,4620.0,6.61,0.05,5.87,-1.5,2.47,0.94
1402,4623.0,6.23,-0.03,5.52,-1.4,2.43,0.98
1403,4626.0,6.01,-0.05,5.27,-1.27,2.45,1.01
1404,4629.0,5.84,-0.02,4.88,-1.09,2.49,1.04
1405,4633.0,5.46,-0.4,4.55,-0.95,2.63,1.06
1406,4636.0,5.09,-0.79,4.45,-1.07,2.87,1.09
1407,4639.0,6.72,-1.62,4.23,-1.14,3.18,1.07
1408,4642.0,8.84,-1.95,2.46,-0.79,3.37,0.93
1409,4646.0,7.13,-1.0,2.24,-0.12,3.64,0.8
1410,4649.0,6.06,-0.22,2.48,0.32,3.9,0.81
1411,4652.0,1.91,-0.89,4.59,1.4,4.27,0.66
1412,4655.0,1.74,-1.6,6.98,0.91,4.56,0.7
1413,4658.0,2.59,-2.38,9.55,0.55,4.59,0.66
1414,4662.0,4.07,-2.0,10.68,0.41,4.28,0.6
1415,4665.0,4.82,-1.19,10.49,0.69,3.84,0.54
1416,4668.0,6.93,0.7,8.82,1.07,3.42,0.5
1417,4671.0,7.73,2.8,6.68,1.97,3.17,0.52
1418,4674.0,7.45,3.91,4.94,3.1,3.13,0.59
1419,4678.0,7.12,4.36,3.2,4.19,3.31,0.74
1420,4681.0,6.46,3.83,2.41,5.29,3.65,0.83
1421,4684.0,5.45,2.26,3.83,5.86,4.23,0.97
1422,4687.0,4.88,1.0,5.71,5.9,4.51,1.01
1423,4690.0,4.08,-0.76,8.29,5.78,4.6,0.96
1424,4694.0,4.05,-2.02,10.94,5.09,4.27,0.78
1425,4697.0,4.15,-2.71,12.94,4.03,3.77,0.63
1426,4700.0,4.2,-2.66,13.75,2.68,2.88,0.39
1427,4703.0,4.28,-1.76,12.77,1.77,2.2,0.25
1428,4706.0,4.4,-0.5,11.0,1.02,1.62,0.18
1429,4710.0,4.49,0.63,9.01,0.54,1.19,0.17
1430,4713.0,4.37,1.26,7.17,0.33,0.9,0.19
1431,4716.0,3.85,1.28,5.36,0.27,0.72,0.21
1432,4719.0,3.41,0.98,4.55,0.27,0.71,0.22
1433,4722.0,2.96,0.62,4.11,0.27,0.76,0.2
1434,4726.0,2.63,0.51,3.91,0.24,0.86,0.18
1435,4729.0,2.21,0.47,3.92,0.18,0.98,0.17
1436,4732.0,1.93,0.51,4.12,0.05,1.15,0.18
1437,4735.0,1.81,0.59,4.33,-0.08,1.28,0.2
1438,4738.0,1.75,0.7,4.48,-0.2,1.4,0.23
1439,4742.0,1.68,0.76,4.59,-0.3,1.52,0.27
1440,4745.0,1.65,0.74,4.62,-0.37,1.64,0.31
1441,4748.0,1.61,0.61,4.7,-0.42,1.82,0.35
1442,4751.0,1.64,0.51,4.82,-0.43,1.95,0.38
1443,4755.0,1.71,0.42,4.99,-0.44,2.08,0.39
1444,4758.0,1.84,0.38,5.15,-0.47,2.21,0.39
1445,4761.0,2.03,0.39,5.33,-0.53,2.33,0.4
1446,4764.0,2.27,0.52,5.58,-0.63,2.47,0.4
1447,4767.0,2.47,0.71,5.76,-0.72,2.54,0.42
1448,4771.0,2.62,0.91,5.93,-0.79,2.58,0.44
1449,4774.0,2.66,1.01,6.1,-0.84,2.59,0.47
1450,4777.0,2.75,1.06,6.33,-0.91,2.57,0.5
1451,4780.0,2.75,0.94,6.72,-1.01,2.49,0.55
1452,4783.0,2.61,0.59,7.05,-1.1,2.4,0.57
1453,4787.0,2.4,0.13,7.27,-1.23,2.29,0.57
1454,4790.0,2.29,-0.15,7.37,-1.41,2.17,0.55
1455,4793.0,2.14,-0.18,7.28,-1.65,2.03,0.52
1456,4796.0,2.01,-0.11,7.12,-1.83,1.95,0.5
1457,4800.0,1.85,-0.11,6.99,-2.02,1.91,0.5
1458,4803.0,1.66,-0.17,6.97,-2.21,1.88,0.5
1459,4806.0,1.43,-0.28,6.97,-2.39,1.89,0.51
1460,4809.0,1.11,-0.36,6.89,-2.54,1.92,0.51
1461,4812.0,0.99,-0.35,6.7,-2.56,1.97,0.52
1462,4816.0,0.89,-0.3,6.45,-2.47,2.05,0.53
1463,4819.0,0.81,-0.23,6.16,-2.29,2.16,0.55
1464,4822.0,0.68,-0.31,5.83,-1.94,2.36,0.58
1465,4825.0,0.6,-0.43,5.69,-1.65,2.54,0.6
1466,4829.0,0.47,-0.63,5.76,-1.36,2.75,0.61
1467,4832.0,0.39,-0.87,5.96,-1.1,2.95,0.61
1468,4835.0,0.35,-1.04,6.28,-0.88,3.14,0.6
1469,4838.0,0.47,-0.98,6.81,-0.61,3.35,0.57
1470,4842.0,1.19,-0.79,7.06,-0.41,3.46,0.54
1471,4845.0,1.08,0.15,7.28,-0.14,3.49,0.46
1472,4848.0,0.94,1.63,7.18,0.19,3.51,0.5
1473,4851.0,1.08,3.04,7.12,0.88,3.5,0.64
1474,4854.0,1.14,3.52,7.19,1.48,3.5,0.78
1475,4858.0,1.19,3.26,7.57,2.03,3.49,0.93
1476,4861.0,1.51,2.9,8.12,2.49,3.42,1.04
1477,4864.0,1.77,2.78,8.4,2.96,3.26,1.1
1478,4867.0,1.17,1.85,8.65,3.43,3.05,1.17
1479,4870.0,1.05,0.99,8.76,3.59,2.9,1.17
1480,4874.0,0.93,0.43,8.57,3.78,2.73,1.09
1481,4877.0,0.79,0.13,8.29,3.84,2.62,1.01
1482,4880.0,0.67,-0.07,8.36,3.75,2.52,0.92
1483,4883.0,0.44,-0.13,8.29,3.69,2.4,0.83
1484,4886.0,0.53,-0.31,8.24,3.47,2.29,0.7
1485,4890.0,0.69,-0.26,8.44,3.28,2.21,0.6
1486,4893.0,0.69,-0.11,8.62,3.07,2.12,0.51
1487,4896.0,0.49,0.1,8.76,2.83,2.03,0.45
1488,4899.0,0.49,0.33,8.78,2.61,1.94,0.41
1489,4902.0,0.07,0.7,8.71,2.37,1.84,0.38
1490,4906.0,0.3,1.01,8.46,2.25,1.78,0.37
1491,4909.0,-0.06,1.32,8.37,2.16,1.73,0.38
1492,4912.0,-0.43,1.6,8.08,2.11,1.69,0.43
1493,4915.0,-0.73,1.83,7.8,2.07,1.69,0.49
1494,4918.0,-0.89,1.98,7.43,2.08,1.73,0.54
1495,4922.0,-1.31,2.08,7.41,2.07,1.8,0.58
1496,4925.0,-1.6,2.19,7.39,2.04,1.87,0.62
1497,4928.0,-1.63,2.21,7.41,1.97,1.96,0.65
1498,4931.0,-1.32,2.2,7.72,1.8,2.07,0.67
1499,4934.0,-0.86,2.21,8.0,1.64,2.11,0.68
1500,4938.0,-0.19,2.19,8.32,1.47,2.1,0.69
1501,4941.0,0.33,2.07,8.64,1.31,2.01,0.69
1502,4944.0,0.65,1.87,8.78,1.17,1.88,0.68
1503,4947.0,1.58,1.5,8.74,1.0,1.66,0.63
1504,4951.0,1.32,1.38,8.82,0.9,1.46,0.58
1505,4954.0,0.65,1.23,8.7,0.79,1.28,0.52
1506,4957.0,0.09,1.16,8.6,0.61,1.15,0.45
1507,4960.0,-0.42,1.33,8.59,0.45,1.06,0.38
1508,4963.0,-0.82,1.84,8.53,0.27,0.95,0.31
1509,4967.0,-0.86,2.26,8.39,0.2,0.88,0.28
1510,4970.0,-0.79,2.66,8.2,0.18,0.81,0.28
1511,4973.0,-0.65,3.0,8.03,0.22,0.75,0.3
1512,4976.0,-0.48,3.21,7.88,0.32,0.68,0.33
1513,4979.0,-0.29,3.22,7.65,0.45,0.57,0.4
1514,4983.0,-0.29,3.01,7.41,0.52,0.47,0.45
1515,4986.0,-0.47,2.63,7.07,0.54,0.39,0.5
1516,4989.0,-0.88,2.18,6.6,0.54,0.34,0.53
1517,4992.0,-1.38,1.72,6.06,0.51,0.34,0.54
1518,4995.0,-1.89,1.24,5.34,0.44,0.43,0.53
1519,4999.0,-2.06,1.02,4.85,0.4,0.57,0.5
1520,5002.0,-2.06,0.93,4.46,0.38,0.76,0.46
1521,5005.0,-1.99,0.87,4.24,0.37,0.98,0.41
1522,5008.0,-1.84,0.86,4.21,0.38,1.21,0.35
1523,5012.0,-1.62,0.9,4.42,0.41,1.52,0.26
1524,5015.0,-1.42,0.98,4.77,0.42,1.72,0.2
1525,5018.0,-1.23,1.06,5.28,0.41,1.88,0.13
1526,5021.0,-1.05,1.19,5.88,0.4,1.97,0.07
1527,5024.0,-0.79,1.57,6.59,0.37,1.99,0.0
1528,5028.0,-0.5,2.14,7.18,0.24,1.96,0.08
1529,5031.0,-0.73,2.47,7.5,0.29,1.81,0.09
1530,5034.0,-0.98,2.51,7.59,0.3,1.67,0.11
1531,5037.0,-1.1,2.5,7.86,0.26,1.52,0.15
1532,5040.0,-1.51,2.41,7.87,0.38,1.24,0.17
1533,5044.0,-1.56,2.25,7.8,0.41,1.06,0.2
1534,5047.0,-1.54,2.24,7.79,0.45,0.86,0.23
1535,5050.0,-1.63,2.21,7.6,0.51,0.64,0.26
1536,5053.0,-1.67,2.03,7.37,0.54,0.46,0.28
1537,5057.0,-1.55,1.87,6.99,0.57,0.25,0.29
1538,5060.0,-1.34,1.85,6.66,0.55,0.13,0.32
1539,5063.0,-1.33,1.8,6.36,0.49,0.04,0.36
1540,5066.0,-1.49,1.61,5.98,0.45,-0.04,0.37
1541,5069.0,-1.56,1.33,5.53,0.41,-0.09,0.35
1542,5073.0,-1.55,1.11,5.0,0.33,-0.08,0.31
1543,5076.0,-1.24,2.28,5.47,0.12,0.05,0.28
1544,5079.0,-0.8,3.66,6.97,-0.14,0.06,0.34
1545,5082.0,-0.6,4.64,7.96,-0.09,-0.11,0.45
1546,5086.0,-0.84,4.92,8.27,-0.02,-0.37,0.66
1547,5089.0,-1.06,4.36,8.14,0.06,-0.54,0.79
1548,5092.0,-1.29,3.65,7.96,0.08,-0.67,0.89
1549,5095.0,-1.46,3.02,7.65,0.08,-0.79,0.94
1550,5098.0,-1.62,2.44,6.9,0.04,-0.9,0.96
1551,5102.0,-1.61,2.29,6.24,0.02,-0.92,0.96
1552,5105.0,-1.71,2.61,5.77,0.0,-0.88,0.97
1553,5108.0,-1.8,2.93,5.64,0.03,-0.81,1.01
1554,5111.0,-1.8,3.09,5.81,0.12,-0.76,1.08
1555,5115.0,-1.87,3.27,6.24,0.32,-0.72,1.2
1556,5118.0,-1.94,3.38,6.69,0.49,-0.73,1.29
1557,5121.0,-1.92,3.41,7.23,0.67,-0.77,1.38
1558,5124.0,-1.74,3.46,7.71,0.89,-0.86,1.46
1559,5128.0,-1.61,3.62,8.14,1.21,-1.02,1.58
1560,5131.0,-1.49,3.77,8.3,1.42,-1.15,1.68
1561,5134.0,-0.96,3.81,8.32,1.62,-1.26,1.77
1562,5137.0,0.85,3.54,8.11,1.98,-1.28,1.79
1563,5140.0,0.64,4.38,8.49,2.65,-1.39,1.8
1564,5144.0,-0.35,5.19,8.6,3.07,-1.58,2.0
1565,5147.0,-0.78,4.71,8.27,3.32,-1.72,2.14
1566,5150.0,-1.12,4.13,7.82,3.6,-1.79,2.22
1567,5153.0,-1.58,3.99,7.83,3.83,-1.82,2.28
1568,5157.0,-1.8,3.9,8.66,4.0,-1.9,2.36
1569,5160.0,-1.79,3.87,9.56,4.09,-2.03,2.41
1570,5163.0,-1.75,4.11,10.47,4.14,-2.24,2.47
1571,5166.0,-1.64,4.47,11.15,4.08,-2.52,2.55
1572,5170.0,-1.39,4.82,11.48,3.94,-2.84,2.66
1573,5173.0,-1.04,4.99,11.31,3.74,-3.29,2.83
1574,5176.0,-0.82,5.14,10.81,3.78,-3.59,2.94
1575,5179.0,-0.73,5.82,9.93,3.77,-3.87,3.08
1576,5182.0,-0.68,5.89,9.09,3.51,-4.01,3.3
1577,5186.0,-0.58,6.47,8.31,3.46,-4.08,3.54
1578,5189.0,-0.51,6.6,7.78,3.17,-4.07,3.81
1579,5192.0,-0.42,6.45,7.51,3.06,-4.03,4.04
1580,5195.0,-0.32,6.77,7.12,3.05,-4.0,4.28
1581,5199.0,-0.31,6.85,6.45,2.3,-3.89,4.68
1582,5202.0,-0.42,6.36,6.18,1.32,-3.73,4.97
1583,5205.0,-0.44,5.23,6.23,0.23,-3.59,5.14
1584,5208.0,-0.54,3.84,6.39,-0.89,-3.49,5.15
1585,5212.0,-0.66,2.72,6.62,-2.0,-3.44,5.01
1586,5215.0,-0.77,1.83,6.63,-3.34,-3.46,4.66
1587,5218.0,-0.82,1.57,6.63,-4.2,-3.46,4.33
1588,5221.0,-0.82,1.55,6.65,-4.99,-3.48,3.99
1589,5225.0,-0.8,1.78,6.5,-5.65,-3.53,3.66
1590,5228.0,-0.55,2.43,5.94,-6.28,-3.59,3.3
1591,5231.0,-0.31,2.91,5.46,-6.66,-3.6,3.11
1592,5234.0,-0.01,3.19,5.02,-7.01,-3.56,2.99
1593,5238.0,0.29,3.18,4.64,-7.29,-3.5,2.9
1594,5241.0,0.74,2.55,4.17,-7.37,-3.47,2.78
1595,5244.0,1.07,2.5,3.9,-7.12,-3.35,2.61
1596,5247.0,1.33,2.37,3.69,-6.82,-3.23,2.45
1597,5250.0,1.56,1.85,3.55,-6.53,-3.06,2.28
1598,5254.0,1.86,1.36,3.28,-5.99,-2.79,1.98
1599,5257.0,2.05,1.32,3.29,-5.51,-2.53,1.75
1600,5260.0,2.2,1.35,3.59,-5.08,-2.27,1.55
1601,5263.0,2.38,1.41,4.16,-4.71,-2.02,1.4
1602,5267.0,2.59,1.48,4.99,-4.39,-1.83,1.31
1603,5270.0,2.83,1.6,6.14,-4.0,-1.7,1.24
1604,5273.0,2.95,1.7,6.93,-3.74,-1.68,1.24
1605,5276.0,3.07,1.83,7.46,-3.49,-1.74,1.29
1606,5280.0,3.21,2.0,7.71,-3.28,-1.84,1.37
1607,5283.0,3.32,2.25,7.63,-3.04,-2.02,1.56
1608,5286.0,3.34,2.38,7.35,-2.87,-2.15,1.73
1609,5289.0,3.26,2.37,6.9,-2.65,-2.27,1.92
1610,5292.0,3.17,2.25,6.22,-2.34,-2.35,2.08
1611,5296.0,3.08,2.09,5.4,-1.95,-2.38,2.2
1612,5299.0,3.03,1.76,4.26,-1.34,-2.32,2.3
1613,5302.0,3.07,1.43,3.47,-0.86,-2.19,2.33
1614,5305.0,3.27,1.03,2.81,-0.36,-2.0,2.31
1615,5309.0,3.62,0.63,2.37,0.16,-1.77,2.25
1616,5312.0,4.17,0.25,2.06,0.89,-1.44,2.1
1617,5315.0,4.63,0.13,1.98,1.44,-1.19,1.97
1618,5318.0,5.06,0.07,1.92,1.97,-0.95,1.83
1619,5321.0,5.44,0.12,1.92,2.5,-0.72,1.69
1620,5325.0,5.64,0.28,1.97,3.04,-0.5,1.55
1621,5328.0,5.65,0.67,2.22,3.69,-0.23,1.42
1622,5331.0,5.46,1.08,2.5,4.11,-0.05,1.37
1623,5334.0,5.17,1.47,2.86,4.45,0.12,1.36
1624,5338.0,4.92,1.7,3.27,4.76,0.26,1.39
1625,5341.0,4.68,1.8,3.6,5.09,0.37,1.42
1626,5344.0,4.48,1.84,3.97,5.57,0.5,1.45
1627,5347.0,4.21,1.67,4.19,5.96,0.59,1.45
1628,5350.0,3.88,1.06,4.8,6.34,0.73,1.41
1629,5354.0,3.77,0.17,6.53,6.42,0.93,1.36
1630,5357.0,3.82,-0.72,9.41,5.83,1.06,1.32
1631,5360.0,3.55,-1.29,13.21,4.24,0.87,1.24
1632,5363.0,3.22,-1.11,14.71,3.02,0.48,1.11
1633,5366.0,3.08,-0.57,14.94,2.05,0.0,0.96
1634,5370.0,3.16,0.07,14.14,1.33,-0.48,0.8
1635,5373.0,3.46,0.66,12.56,0.83,-0.93,0.67
1636,5376.0,3.81,1.32,9.33,0.47,-1.37,0.53
1637,5379.0,3.9,1.86,6.35,0.47,-1.52,0.46
1638,5382.0,3.8,2.5,3.36,0.8,-1.47,0.4
1639,5386.0,3.6,3.12,0.86,1.47,-1.23,0.36
1640,5389.0,3.43,3.59,-1.07,2.81,-0.72,0.31
1641,5392.0,3.35,3.68,-1.43,4.05,-0.27,0.27
1642,5395.0,3.36,3.66,-1.11,5.4,0.16,0.2
1643,5399.0,3.36,3.61,-0.39,6.82,0.56,0.1
1644,5402.0,3.39,3.72,0.48,8.26,0.9,-0.02
1645,5405.0,3.41,3.96,1.57,8.73,1.28,-0.19
1646,5408.0,3.39,4.07,2.35,8.73,1.54,-0.33
1647,5411.0,3.39,4.15,3.15,8.73,1.74,-0.46
1648,5415.0,3.41,4.64,3.98,8.73,1.89,-0.56
1649,5418.0,3.47,4.88,4.42,8.73,1.98,-0.59
1650,5421.0,3.55,4.66,4.51,8.73,2.09,-0.68
1651,5424.0,3.84,4.91,3.39,8.73,2.16,-0.72
1652,5427.0,3.77,4.3,0.98,8.73,2.42,-0.62
1653,5431.0,3.55,3.34,-1.62,8.73,2.95,-0.49
1654,5434.0,3.68,2.67,-2.04,6.82,3.64,-0.49
1655,5437.0,4.34,3.67,0.51,5.13,4.23,-0.69
1656,5440.0,4.74,4.34,3.09,4.52,4.32,-0.79
1657,5444.0,4.99,4.71,5.17,4.2,4.15,-0.85
1658,5447.0,5.0,4.85,6.54,4.11,3.82,-0.91
1659,5450.0,4.94,5.19,6.84,4.26,3.21,-1.01
1660,5453.0,4.55,5.2,5.89,4.36,2.84,-1.06
1661,5456.0,4.12,4.94,4.59,4.61,2.6,-1.16
1662,5460.0,3.67,4.88,3.29,4.99,2.48,-1.32
1663,5463.0,3.25,5.06,2.33,5.49,2.47,-1.51
1664,5466.0,2.74,5.34,2.0,6.15,2.6,-1.77
1665,5469.0,2.26,5.09,2.89,6.39,2.82,-1.97
1666,5472.0,2.11,5.64,3.96,6.62,2.84,-2.17
1667,5476.0,2.05,6.3,5.01,6.86,2.71,-2.32
1668,5479.0,2.46,6.64,5.78,6.9,2.49,-2.43
1669,5482.0,3.0,7.37,6.11,6.78,2.14,-2.53
1670,5485.0,3.76,8.28,5.91,6.69,1.76,-2.56
1671,5489.0,3.48,9.43,5.0,6.85,1.3,-2.57
1672,5492.0,2.88,9.47,4.47,6.91,1.02,-2.53
1673,5495.0,2.73,9.39,4.46,6.8,0.82,-2.49
1674,5498.0,2.86,9.18,4.79,6.52,0.57,-2.46
1675,5501.0,2.97,9.0,4.83,6.27,0.34,-2.45
1676,5505.0,2.98,8.9,4.44,6.12,0.06,-2.47
1677,5508.0,2.9,8.58,3.85,5.98,-0.19,-2.51
1678,5511.0,2.92,8.41,3.25,5.74,-0.45,-2.62
1679,5514.0,2.96,8.63,3.08,5.55,-0.63,-2.69
1680,5517.0,2.99,8.94,3.04,5.36,-0.81,-2.75
1681,5521.0,3.01,9.29,2.96,5.14,-0.99,-2.78
1682,5524.0,3.0,9.65,2.8,4.84,-1.16,-2.77
1683,5527.0,2.82,10.01,2.52,4.4,-1.39,-2.71
1684,5530.0,2.56,10.3,1.92,4.15,-1.5,-2.63
1685,5534.0,2.28,10.32,1.3,3.98,-1.55,-2.54
1686,5537.0,1.99,10.07,0.87,3.81,-1.57,-2.47
1687,5540.0,1.72,9.68,0.55,3.61,-1.56,-2.41
1688,5543.0,1.53,9.33,0.34,3.5,-1.55,-2.41
1689,5547.0,1.41,8.98,0.12,3.39,-1.55,-2.44
1690,5550.0,1.4,8.7,-0.11,3.28,-1.53,-2.49
1691,5553.0,1.48,8.54,-0.09,3.09,-1.49,-2.59
1692,5556.0,1.51,8.6,0.15,2.86,-1.51,-2.66
1693,5560.0,1.63,9.16,0.53,2.83,-1.59,-2.73
1694,5563.0,1.7,9.93,0.32,2.81,-1.69,-2.72
1695,5566.0,1.64,10.49,-0.1,2.69,-1.72,-2.62
1696,5569.0,2.5,11.32,-0.46,2.5,-1.66,-2.39
1697,5572.0,2.86,11.92,0.19,2.26,-1.65,-2.07
1698,5576.0,2.36,11.89,0.06,2.13,-1.71,-1.79
1699,5579.0,1.79,11.85,-0.84,1.97,-1.7,-1.5
1700,5582.0,0.83,10.95,-2.1,1.8,-1.47,-1.19
1701,5585.0,0.35,10.43,-2.53,1.7,-1.17,-1.08
1702,5589.0,0.11,10.17,-2.39,1.57,-0.85,-1.04
1703,5592.0,0.09,10.18,-1.86,1.39,-0.58,-1.02
1704,5595.0,0.21,10.45,-1.12,0.98,-0.32,-1.0
1705,5598.0,0.4,10.55,-0.58,0.53,-0.22,-0.97
1706,5602.0,0.46,10.58,0.15,-0.04,-0.19,-0.94
1707,5605.0,0.28,10.76,1.11,-0.76,-0.25,-0.92
1708,5608.0,-0.07,11.08,2.39,-2.0,-0.47,-0.91
1709,5611.0,-0.24,11.25,3.15,-3.15,-0.72,-0.92
1710,5615.0,-0.39,11.38,3.75,-4.41,-1.03,-0.96
1711,5618.0,-0.55,11.48,4.17,-5.66,-1.36,-1.02
1712,5621.0,-0.58,11.49,4.3,-7.1,-1.8,-1.12
1713,5624.0,-0.51,11.36,3.97,-7.92,-2.09,-1.2
1714,5628.0,-0.32,11.16,3.44,-8.49,-2.32,-1.28
1715,5631.0,-0.1,11.01,3.0,-8.73,-2.47,-1.34
1716,5634.0,0.73,11.03,2.39,-8.73,-2.58,-1.37
1717,5638.0,3.1,12.01,1.53,-8.73,-2.63,-1.28
1718,5641.0,0.04,11.12,1.39,-8.47,-2.7,-1.11
1719,5644.0,-1.1,8.63,1.05,-8.27,-2.49,-1.04
1720,5647.0,-0.62,9.13,0.32,-8.18,-2.28,-1.04
1721,5651.0,-0.39,9.07,-0.06,-7.61,-2.21,-0.98
1722,5654.0,-0.54,8.68,-0.81,-6.92,-2.1,-0.94
1723,5657.0,-0.52,8.14,-0.48,-6.6,-1.72,-0.86
1724,5660.0,-0.59,7.95,0.48,-6.05,-1.34,-0.77
1725,5664.0,-0.5,7.15,1.75,-5.96,-1.01,-0.7
1726,5667.0,-0.52,6.84,3.06,-6.07,-0.83,-0.73
1727,5670.0,-0.68,6.97,3.89,-6.38,-0.68,-0.76
1728,5673.0,-0.88,6.86,5.4,-7.07,-0.58,-0.89
1729,5677.0,-0.87,7.39,6.46,-7.55,-0.64,-1.03
1730,5680.0,-0.28,7.31,7.59,-7.93,-0.88,-1.13
1731,5683.0,0.15,6.96,8.08,-8.54,-1.22,-1.23
1732,5686.0,0.43,7.32,8.41,-8.73,-1.67,-1.38
1733,5690.0,0.54,7.14,8.62,-8.73,-2.01,-1.47
1734,5693.0,0.56,7.02,8.57,-8.73,-2.33,-1.56
1735,5696.0,0.42,7.01,8.29,-8.73,-2.6,-1.63
1736,5699.0,0.03,6.86,7.71,-8.73,-2.9,-1.68
1737,5703.0,-0.27,6.69,7.37,-8.73,-3.04,-1.69
1738,5706.0,0.12,6.96,7.97,-8.73,-3.19,-1.66
1739,5709.0,0.54,7.24,9.13,-8.73,-3.54,-1.52
1740,5712.0,0.79,7.29,10.2,-8.73,-4.22,-1.23
1741,5716.0,0.8,7.26,10.53,-8.73,-4.81,-0.96
1742,5719.0,0.65,6.69,10.35,-8.73,-5.37,-0.68
1743,5722.0,0.44,5.48,9.95,-8.73,-5.82,-0.47
1744,5725.0,0.23,3.53,9.34,-8.73,-6.11,-0.37
1745,5729.0,0.28,2.19,9.05,-8.73,-6.17,-0.42
1746,5732.0,0.16,1.99,8.44,-8.73,-6.13,-0.54
1747,5735.0,0.34,1.32,8.14,-8.73,-5.98,-0.63
1748,5738.0,0.55,1.78,6.73,-8.73,-5.93,-0.84
1749,5742.0,0.36,2.08,5.44,-8.73,-5.74,-0.98
1750,5745.0,0.2,3.28,4.48,-8.73,-5.44,-1.19
1751,5748.0,0.44,6.05,3.54,-8.73,-5.25,-1.41
1752,5751.0,1.12,7.02,2.78,-8.73,-5.06,-1.39
1753,5755.0,1.66,5.75,3.07,-7.56,-4.87,-1.18
1754,5758.0,1.7,3.23,3.93,-5.56,-4.7,-0.96
1755,5761.0,1.41,1.16,4.67,-4.5,-4.55,-0.81
1756,5764.0,0.91,-0.37,5.02,-3.96,-4.35,-0.71
1757,5768.0,0.7,-0.91,4.87,-3.7,-4.18,-0.68
1758,5771.0,0.71,-1.41,4.75,-3.41,-3.96,-0.7
1759,5774.0,1.03,-1.98,5.05,-3.18,-3.74,-0.77
1760,5777.0,1.7,-2.28,5.68,-2.93,-3.52,-0.92
1761,5781.0,2.27,-2.0,5.93,-2.73,-3.42,-1.04
1762,5784.0,2.71,-1.69,5.87,-2.53,-3.33,-1.1
1763,5787.0,3.06,-1.47,5.73,-2.35,-3.23,-1.12
1764,5791.0,3.51,-1.61,5.68,-2.11,-3.09,-1.11
1765,5794.0,3.62,-2.41,5.82,-2.03,-2.97,-1.09
1766,5797.0,3.57,-3.15,6.1,-2.17,-2.84,-1.11
1767,5810.0,4.02,-2.51,6.99,-2.34,-2.55,-1.49
1768,5814.0,4.18,-2.33,7.07,-2.19,-2.57,-1.53
1769,5817.0,4.29,-2.12,6.94,-2.02,-2.62,-1.54
1770,5820.0,4.33,-1.94,6.7,-1.86,-2.66,-1.53
1771,5824.0,4.38,-1.92,6.47,-1.65,-2.72,-1.49
1772,5827.0,4.41,-2.0,6.39,-1.5,-2.77,-1.45
1773,5830.0,4.41,-2.12,6.35,-1.37,-2.84,-1.43
1774,5833.0,4.42,-2.24,6.33,-1.25,-2.91,-1.41
1775,5837.0,4.4,-2.38,6.42,-1.11,-3.03,-1.42
1776,5840.0,4.52,-2.44,6.55,-1.01,-3.16,-1.43
1777,5843.0,4.63,-2.49,6.71,-0.93,-3.32,-1.45
1778,5846.0,4.83,-2.51,6.89,-0.87,-3.51,-1.46
1779,5850.0,4.99,-2.41,7.15,-0.83,-3.85,-1.46
1780,5853.0,5.1,-2.3,7.36,-0.8,-4.17,-1.46
1781,5856.0,5.13,-2.21,7.43,-0.81,-4.53,-1.47
1782,5859.0,5.09,-2.09,7.19,-0.77,-5.04,-1.46
1783,5863.0,5.13,-1.89,6.69,-0.73,-5.42,-1.46
1784,5866.0,5.2,-1.65,5.83,-0.74,-5.72,-1.44
1785,5869.0,5.32,-1.4,4.61,-0.9,-5.92,-1.42
1786,5873.0,5.31,-1.29,3.39,-1.25,-5.95,-1.39
1787,5876.0,5.34,-1.38,3.11,-1.43,-5.88,-1.36
1788,5879.0,5.43,-1.3,3.17,-1.6,-5.78,-1.32
1789,5882.0,5.55,-1.27,3.29,-1.81,-5.68,-1.27
1790,5886.0,5.74,-1.25,3.14,-2.12,-5.54,-1.18
1791,5889.0,5.96,-0.85,2.99,-2.48,-5.42,-1.1
1792,5892.0,6.23,0.19,2.85,-3.0,-5.29,-0.96
1793,5895.0,6.54,1.18,2.88,-3.75,-5.18,-0.7
1794,5899.0,6.83,0.82,2.96,-4.33,-5.11,-0.39
1795,5902.0,6.85,-0.24,2.74,-4.77,-5.08,-0.18
